"","B1-NR","B1-IR","B3-NR","B3-IR","B4-NR","B4-IR","B5-NR","B5-IR","B6-NR","B6-IR","Symbol"
"1",12.1948830987139,12.1021717203923,12.1557245447493,12.2462319802531,12.5062860329089,12.2312764926972,12.0664871153006,12.186274993391,12.2611399405511,12.098185791221,"TSPAN6"
"2",11.6953961686776,11.75941549631,11.731813042869,11.7097240368387,11.7243326870412,11.8890371973888,11.8829403566238,11.8132189235484,11.8670113405743,11.8066921341397,"DPM1"
"3",10.324699666491,10.2911760940013,10.3411634807071,10.2809684515708,10.3777319505551,10.3028679135652,10.3538073864449,10.3064062086604,10.3757751361058,10.3909017381049,"SCYL3"
"4",9.06913410077748,8.97052660003807,9.53759912193176,8.9661691366397,8.93902294091359,8.93710462102675,9.60118352163757,9.1934421784329,9.54083354028004,9.01643891261736,"C1orf112"
"5",8.95413146372338,9.03464134639302,8.66605334268436,8.95207681384102,9.08705378485152,9.11976685533387,8.92859161680571,9.24413664279755,8.91967129884497,9.25122153071645,"CFH"
"6",12.9918135167966,12.937797237454,13.131380024614,13.3097276837846,13.5259140101472,13.3458277429433,13.0792904088513,13.0856389742464,13.0836005889263,13.0294908848658,"FUCA2"
"7",11.8690426469754,11.689274926803,11.7811982557818,11.6680118304032,12.0275345010213,11.6775285511829,11.8260882425397,11.669545768224,11.8283664882525,11.6593081843139,"GCLC"
"8",12.0637676811823,12.141367982427,11.9972349142344,12.084082786174,11.9684139278731,12.1595545884815,12.1044415498862,12.2459902256554,12.1247926352961,12.1547725925204,"NFYA"
"9",11.1727917276429,11.2454071068627,10.8529792499735,10.9318461974763,11.2818793765542,11.4822157445995,11.0431908026506,11.1258501394797,11.0908177542279,11.1767068500608,"STPG1"
"10",13.3496241733763,14.2522707945921,13.3819378773995,13.9409486318029,13.702471252393,14.6584279570595,13.2515877303987,14.0453071621697,13.3508154872533,14.0265516338368,"NIPAL3"
"11",12.146261736375,12.2230876415777,12.2548831175451,12.1743406462812,12.1523636257752,12.2338416756657,12.2965935874178,12.3078760106127,12.2685474949267,12.179714334801,"LAS1L"
"12",10.5063419232416,11.0751511574037,10.9179591364368,11.020014632739,10.9901925637971,11.3258223009244,10.8759465157704,11.1395957484281,10.8401733452534,11.1588694452287,"ENPP4"
"13",11.1421760152614,12.173535001403,11.3589194450626,11.8023897406038,11.6305571218949,12.5722928060368,11.2671756322887,11.9811658830092,11.3164237991401,11.9218231732946,"SEMA3F"
"14",8.56237574966751,8.49515115972492,8.43694577726789,8.54187600253304,8.42016069958496,8.48489112829811,8.42300361330745,8.55815763086433,8.47856268542213,8.52192915048928,"CFTR"
"15",12.9710456835224,13.0781300053493,12.857074288118,13.0273525719446,13.1352146603064,13.1526602989566,12.9371564143681,13.1132622765805,12.9923884831124,13.1139044252481,"ANKIB1"
"16",11.1489530770974,11.1881009361862,11.4334911628921,10.9999929902415,11.0736883949856,11.3209889098504,11.3627886624891,11.1619901839443,11.2755897650208,11.2030515695108,"CYP51A1"
"17",9.90969945002263,9.8837379694001,9.96831768837246,9.95441447453771,9.81170174696663,9.68865373949945,9.97553888762439,9.84581076358166,9.95172157614578,9.93779159712158,"KRIT1"
"18",10.8359679822411,10.7860713070555,10.9475973639715,11.042696428926,10.85149600771,10.7062685527111,10.7309530948592,10.7007718197796,10.6888265760699,10.7274792141064,"RAD52"
"19",8.15211233605302,8.55807645821978,7.98870850009768,8.11906619232436,8.04597381079826,8.53963453746434,8.27214999233359,8.68877498132,8.12518792792086,8.55444014782542,"MYH16"
"20",10.0903764377519,9.89582156545969,9.9611571894124,9.87539769900753,10.1014870101313,10.1067681348027,9.96219329819407,9.75272764999483,9.891649979878,9.87522515419832,"BAD"
"21",12.9053367570295,13.0256195735632,12.9756695246871,12.9460126982276,13.0826258703669,13.1973313509033,13.0740346707485,13.0489910860963,13.1237770624012,13.032866657761,"LAP3"
"22",12.0510150623478,13.4494901731644,11.3592983541472,12.5862829301232,12.5847390778016,13.7834353790958,11.5730707101411,12.9775402008793,11.5364375656604,12.8010780484031,"HS3ST1"
"23",8.47254544856357,8.57200776974437,8.26713751836462,8.69760235340202,8.16595831067497,8.7402556269963,8.2843779973315,8.59873653061146,8.04391914184788,8.11657539567887,"AOC1"
"24",8.13267452205996,8.29873122219576,8.1816254759753,8.23083646073114,7.90528359338946,8.12896751810007,8.17317692093479,8.24275079421384,8.0822368972774,8.16176919744207,"MAD1L1"
"25",15.9663391319487,15.9191347580355,15.6816131742208,15.6468023025802,15.7344963433037,15.9686528998361,15.9260401864532,15.9324335863068,15.9390600508532,15.8883611043359,"LASP1"
"26",10.8774851642925,11.1857123097821,11.0659254637778,11.1920937367393,10.9081667310409,11.2879288261225,11.0960288744706,11.2912881721411,11.0870188632215,11.2256284832649,"SNX11"
"27",13.2235340074312,13.1345039471021,13.1797220379565,13.1741122307774,13.5640700584469,13.2550807858782,13.2104393731563,13.1922721826338,13.3061613706254,13.2179048912507,"M6PR"
"28",13.667944848742,14.5272417273205,13.9598613388549,14.4081565878172,13.7812002915367,14.7817318473622,13.9056146844323,14.560791441224,13.9364399991362,14.5483532340317,"KLHL13"
"29",7.68554736028353,7.90088107322785,7.78682606354919,7.83824051103195,7.6360261433452,7.6443906049214,7.9637781662724,7.82135861626359,7.86549810776185,7.8581870938433,"CYP26B1"
"30",10.8747548646763,11.0860887417858,10.9626881533175,11.114244045583,11.2472781849799,11.2336451675984,10.810417885177,11.123776816235,10.7631145785639,10.9693834750517,"ICA1"
