"","x"
"316","AC012593.1"
"317","PRICKLE2"
"318","LINC02615"
"319","PHACTR2"
"320","SLC7A8"
"321","RBPMS"
"322","FOCAD"
"323","EPHA7"
"324","MLLT3"
"325","PAWR"
"326","PDE1A"
"327","FLNB"
"328","WSB1"
"329","CRYAB"
"330","ZNF385B"
"331","AL050309.1"
"332","ZBTB20"
"333","CARMIL1"
"334","PDE7B"
"335","MBD5"
"336","CGNL1"
"337","RBMS1"
"338","PPP2R2B"
"339","DOCK1"
"340","SPP1"
"341","SOX6"
"342","FAAH2"
"343","RDX"
"344","PAX8-AS1"
"345","RNF213"
"346","CCDC198"
"347","SYNE1"
"348","SYNDIG1"
"349","LINC01781"
"350","RAD51B"
"351","RAPGEF2"
"352","PLXDC2"
"353","MPP6"
"354","TBL1X"
"355","MED13L"
"356","CLSTN2"
"357","PLCL1"
"358","SAMD12"
"359","LPIN2"
"360","FOXP2"
"361","BNC2"
"362","AC079352.1"
"363","TXNIP"
"364","PLCB1"
"365","BAZ2B"
"366","NBEA"
"367","SPATS2L"
"368","SASH1"
"369","NFAT5"
"370","PTH2R"
"371","PTPN13"
"372","ARHGAP6"
"373","TTC28"
"374","PLCG2"
"375","COL4A2"
"376","IMMP2L"
"377","AC007319.1"
"378","PRUNE2"
"379","LINC01320"
"380","PTPRK"
"381","PAPPA"
"382","SORBS2"
"383","GPC6"
"384","KCNIP4"
"385","ANK2"
"386","CCL2"
"387","HNF4A"
